,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,lat,long,Regionname,Propertycount
63,Brighton,17 McCallum St,4,h,3695000,S,Marshall,3/12/2016,11.2,3186,4,3,2,836,284.0,1960,Bayside City Council,-37.9071,144.9898,Southern Metropolitan,10579
64,Balwyn North,7 Page St,5,h,3690000,S,RW,8/10/2016,9.2,3104,4,4,2,624,154.0,1967,Boroondara City Council,-37.802,145.0797,Southern Metropolitan,7809
65,Kew,61 Molesworth St,3,h,3650000,VB,Jellis,22/08/2016,5.6,3101,3,2,3,1353,282.0,1960,Boroondara City Council,-37.8006,145.0218,Southern Metropolitan,10331
66,Armadale,44 Denbigh Rd,4,h,3625000,S,Jellis,27/11/2016,6.3,3143,4,1,2,709,251.0,1900,Stonnington City Council,-37.8574,145.016,Southern Metropolitan,4836
67,Surrey Hills,57 Guildford Rd,5,h,3625000,S,Marshall,9/09/2017,10.2,3127,5,3,2,1011,327.0,1910,Boroondara City Council,-37.821909999999995,145.09212,Southern Metropolitan,5457
68,Hawthorn East,29 Fairmount Rd,3,h,3600000,S,Marshall,23/09/2017,6.2,3123,3,2,2,848,158.0,1929,Boroondara City Council,-37.83543,145.04606,Southern Metropolitan,6482
69,Albert Park,161 Kerferd Rd,4,h,3600000,PI,Greg,14/10/2017,3.0,3206,4,3,1,177,266.0,1890,Port Phillip City Council,-37.84787,144.95333,Southern Metropolitan,3280
70,Hawthorn East,41 Leura Gr,4,h,3600000,VB,Jellis,13/05/2017,7.5,3123,4,3,2,667,310.0,1988,Boroondara City Council,-37.8374,145.0511,Southern Metropolitan,6482
71,Malvern East,8 Vickery St,4,h,3600000,S,Marshall,24/06/2017,8.4,3145,4,3,2,552,355.0,2015,Stonnington City Council,-37.87421,145.04958,Southern Metropolitan,8801
72,Balwyn,1 Northcote Av,5,h,3600000,VB,Fletchers,14/10/2017,7.9,3103,5,4,3,611,437.0,2017,Boroondara City Council,-37.8184,145.08624,Southern Metropolitan,5682
73,Elwood,5 Tiuna Gr,3,h,3572000,S,Marshall,12/11/2016,7.7,3184,4,2,6,737,207.0,1915,Port Phillip City Council,-37.8839,144.9831,Southern Metropolitan,8989
74,Camberwell,6 Kingsley St,4,h,3550000,S,Marshall,13/05/2017,7.8,3124,4,2,1,790,251.0,1890,Boroondara City Council,-37.8269,145.0661,Southern Metropolitan,8920
75,Kew,94 Argyle Rd,4,h,3550000,VB,Jellis,7/11/2016,5.6,3101,4,3,4,992,374.0,1935,Boroondara City Council,-37.8046,145.0603,Southern Metropolitan,10331
76,Canterbury,77 Highfield Rd,5,h,3550000,VB,RT,18/03/2017,9.0,3126,5,4,4,684,427.0,2013,Boroondara City Council,-37.832,145.0853,Southern Metropolitan,3265
77,Armadale,4 Mercer Rd,3,h,3512500,S,Marshall,27/11/2016,6.3,3143,3,2,2,617,285.0,1998,Stonnington City Council,-37.8557,145.0264,Southern Metropolitan,4836
78,Ashburton,29A Yuile St,5,h,3510000,S,Jellis,18/03/2017,11.0,3147,5,5,2,755,444.0,2015,Boroondara City Council,-37.8598,145.0796,Southern Metropolitan,3052
79,Hawthorn East,797 Burwood Rd,5,h,3500000,VB,Jellis,18/06/2016,7.5,3123,4,2,2,1250,360.0,2000,Boroondara City Council,-37.8245,145.0524,Southern Metropolitan,6482
80,Malvern,50 Hunter St,4,h,3470000,S,Marshall,25/02/2017,7.4,3144,4,3,2,585,248.0,1915,Stonnington City Council,-37.868,145.03799999999998,Southern Metropolitan,4675
81,Hampton,65 Linacre Rd,5,h,3470000,SP,Marshall,12/11/2016,13.7,3188,5,3,4,670,413.0,2008,Bayside City Council,-37.9427,145.0085,Southern Metropolitan,5454
82,Malvern,3 Plant St,4,h,3460000,S,Jellis,4/06/2016,7.4,3144,4,2,2,502,309.0,2016,Stonnington City Council,-37.8515,145.0324,Southern Metropolitan,4675
83,Kew,16 Hodgson St,5,h,3450000,PI,Kay,26/08/2017,5.4,3101,5,2,2,668,0.0,2006,Boroondara City Council,-37.80795,145.01474,Southern Metropolitan,10331
84,Carlton North,235 Amess St,4,h,3450000,S,Nelson,13/05/2017,3.2,3054,4,2,1,515,203.0,1905,Melbourne City Council,-37.7817,144.9742,Northern Metropolitan,3106
85,Balwyn,17 Knutsford St,3,h,3401000,S,Jellis,27/11/2016,9.7,3103,3,2,1,706,166.0,1930,Boroondara City Council,-37.8161,145.0748,Southern Metropolitan,5682
86,Camberwell,68 Bowen St,3,h,3400000,S,Jellis,25/02/2017,7.8,3124,3,2,4,877,146.0,1960,Boroondara City Council,-37.8437,145.0623,Southern Metropolitan,8920
87,Fitzroy North,79 Delbridge St,4,h,3400000,S,Nelson,14/05/2016,3.5,3068,3,2,1,445,175.0,1890,Moreland City Council,-37.786,144.9864,Northern Metropolitan,6244
88,Maribyrnong,88 The Esplanade,3,h,3400000,SP,Jas,26/08/2017,4.3,3032,3,1,5,2027,187.0,1964,Maribyrnong City Council,-37.7657,144.89109,Western Metropolitan,4918
89,Glen Iris,11 Vincent St,4,h,3400000,VB,Kay,3/09/2016,9.2,3146,4,3,2,856,265.0,1920,Boroondara City Council,-37.8628,145.0436,Southern Metropolitan,10412
90,Malvern,34 Johnstone St,5,h,3400000,SP,Jellis,18/06/2016,7.4,3144,4,3,4,807,339.0,1920,Stonnington City Council,-37.8684,145.035,Southern Metropolitan,4675
91,Glen Iris,26 Audrey Cr,5,h,3400000,S,Marshall,12/08/2017,7.3,3146,5,3,2,720,392.0,1950,Boroondara City Council,-37.85875,145.07978,Southern Metropolitan,10412
92,Canterbury,17 Irilbarra Rd,4,h,3400000,S,Jellis,19/11/2016,9.0,3126,4,1,4,845,411.0,2008,Boroondara City Council,-37.8184,145.0702,Southern Metropolitan,3265
93,Hawthorn,16 Marian St,4,h,3399000,S,Marshall,27/05/2017,5.3,3122,4,2,2,446,274.0,2002,Boroondara City Council,-37.82785,145.03816,Southern Metropolitan,11308
94,Kew,1 Birrell Ct,4,h,3385000,PI,RT,18/11/2017,5.4,3101,4,3,3,531,332.0,1970,Boroondara City Council,-37.8042,145.0572,Southern Metropolitan,10331
95,Glen Iris,3 Fairview Gr,5,h,3365000,S,RT,28/05/2016,9.2,3146,5,2,2,1339,270.0,1925,Boroondara City Council,-37.8649,145.0547,Southern Metropolitan,10412
96,Balwyn North,17 Stephens St,4,h,3360000,S,Assisi,16/04/2016,9.2,3104,4,3,1,904,420.0,2003,Boroondara City Council,-37.797,145.086,Southern Metropolitan,7809
97,Malvern East,34 Manning Rd,4,h,3350000,PI,Jellis,25/11/2017,8.4,3145,4,2,3,836,303.0,1910,Stonnington City Council,-37.8732,145.0496,Southern Metropolitan,8801
98,Balwyn,8 Yarrbat Av,5,h,3350000,S,Fletchers,21/10/2017,7.9,3103,5,4,2,600,401.0,2011,Boroondara City Council,-37.80984,145.08321,Southern Metropolitan,5682
99,Hawthorn,49 Grove Rd,4,h,3335000,S,Kay,3/06/2017,5.3,3122,4,2,2,371,276.0,1890,Boroondara City Council,-37.81474,145.02608999999998,Southern Metropolitan,11308
100,Hampton,53 Bridge St,4,h,3325000,S,Marshall,25/02/2017,13.7,3188,4,3,2,627,303.0,1997,Bayside City Council,-37.9449,145.0068,Southern Metropolitan,5454
101,Brighton,73 Martin St,4,h,3320000,S,Buxton,10/12/2016,11.2,3186,4,3,2,644,364.0,2000,Bayside City Council,-37.8964,144.9972,Southern Metropolitan,10579
102,Camberwell,44 Athelstan Rd,5,h,3320000,SP,Weast,28/05/2016,7.8,3124,5,4,2,741,407.0,2009,Boroondara City Council,-37.8422,145.064,Southern Metropolitan,8920
103,Balwyn,19 Head St,5,h,3320000,PI,Marshall,28/10/2017,7.9,3103,5,4,2,673,448.0,2013,Boroondara City Council,-37.80198,145.06523,Southern Metropolitan,5682
104,Glen Iris,184 Finch St,3,h,3310000,S,Marshall,20/05/2017,9.2,3146,3,3,2,662,265.0,1988,Boroondara City Council,-37.8605,145.0455,Southern Metropolitan,10412
105,Fitzroy,52 Nicholson St,4,h,3310000,S,Caine,13/08/2016,1.6,3065,4,4,2,337,291.0,1854,Yarra City Council,-37.8052,144.9739,Northern Metropolitan,5825
106,Camberwell,16A Waterloo St,3,h,3300000,S,Kay,25/02/2017,7.8,3124,3,3,2,417,220.0,2016,Boroondara City Council,-37.830999999999996,145.0621,Southern Metropolitan,8920
107,Balwyn,7 Carronshore Cl,3,h,3300000,VB,Marshall,21/10/2017,7.9,3103,3,2,2,998,220.0,1955,Boroondara City Council,-37.81691,145.07615,Southern Metropolitan,5682
108,Kew,6 Carson St,4,h,3300000,SP,Jellis,26/08/2017,5.4,3101,4,3,2,741,281.0,1920,Boroondara City Council,-37.81031,145.01955,Southern Metropolitan,10331
109,Balwyn North,3 Dumblane St,5,h,3300000,PI,hockingstuart,3/12/2016,9.2,3104,5,4,2,760,477.0,2015,Boroondara City Council,-37.7907,145.0907,Southern Metropolitan,7809
110,Brighton,95 Cochrane St,4,h,3295888,S,Hodges,15/10/2016,11.2,3186,4,3,2,565,337.0,1990,Bayside City Council,-37.8975,144.9991,Southern Metropolitan,10579
111,Balwyn,262 Union Rd,4,h,3290000,S,Jellis,22/05/2016,9.7,3103,4,3,2,1007,350.0,1910,Boroondara City Council,-37.8135,145.0995,Southern Metropolitan,5682
112,Kew,69 Malin St,5,h,3280000,PI,Marshall,27/11/2016,5.6,3101,4,5,2,480,147.0,1979,Boroondara City Council,-37.8117,145.0449,Southern Metropolitan,10331
113,Kew,23 Dean St,5,h,3275000,S,Jellis,9/12/2017,5.4,3101,5,5,3,780,350.0,1890,Boroondara City Council,-37.815490000000004,145.0573,Southern Metropolitan,10331
114,Toorak,16 Cole Ct,3,h,3270000,S,Marshall,28/08/2016,4.6,3142,3,2,1,363,215.0,1935,Stonnington City Council,-37.8445,145.0182,Southern Metropolitan,7217
115,Balwyn,5 Millah Rd,4,h,3270000,S,Fletchers,12/11/2016,9.7,3103,4,2,4,935,241.0,1927,Boroondara City Council,-37.8157,145.0795,Southern Metropolitan,5682
116,Hawthorn East,10 Mowbray St,4,h,3255000,PI,Kay,17/06/2017,6.2,3123,4,3,3,1116,304.0,1984,Boroondara City Council,-37.84283,145.05178,Southern Metropolitan,6482
117,Prahran,29 Woodfull St,3,h,3250000,SP,Kay,25/11/2017,4.6,3181,3,2,1,261,194.0,1880,Stonnington City Council,-37.8513,145.0089,Southern Metropolitan,7717
118,Hampton,36 Thomas St,4,h,3250000,S,hockingstuart,3/09/2016,13.7,3188,4,3,2,928,300.0,1904,Bayside City Council,-37.9389,145.0062,Southern Metropolitan,5454
119,Balwyn North,325 Belmore Rd,5,h,3250000,PI,Jellis,6/08/2016,9.2,3104,3,4,2,886,520.0,2013,Boroondara City Council,-37.804,145.0951,Southern Metropolitan,7809
120,Balwyn North,19 Jacka St,4,h,3230000,S,Jellis,3/09/2016,9.2,3104,4,4,3,1135,275.0,1960,Boroondara City Council,-37.8014,145.0892,Southern Metropolitan,7809
121,Canterbury,125 Canterbury Rd,5,h,3230000,S,Marshall,18/11/2017,8.4,3126,5,3,3,1053,313.0,1925,Boroondara City Council,-37.8231,145.0744,Southern Metropolitan,3265
122,Hawthorn,10 Oak St,4,h,3225000,S,Jellis,13/08/2016,4.6,3122,4,2,2,665,220.0,1890,Boroondara City Council,-37.814,145.0175,Southern Metropolitan,11308
123,Camberwell,25 Russell St,4,h,3225000,S,Marshall,27/11/2016,7.8,3124,4,3,1,632,270.0,1890,Boroondara City Council,-37.8244,145.064,Southern Metropolitan,8920
124,Balwyn North,5 Mary St,5,h,3225000,S,hockingstuart,28/10/2017,9.7,3104,5,4,2,646,408.0,2016,Boroondara City Council,-37.797990000000006,145.10165,Southern Metropolitan,7809
125,Brighton East,92 Thomas St,5,h,3207000,S,hockingstuart,10/12/2016,10.7,3187,5,5,3,1561,272.0,1969,Bayside City Council,-37.9102,145.0245,Southern Metropolitan,6938
126,Elwood,22 Burns St,5,h,3200000,VB,Chisholm,18/11/2017,7.2,3184,5,3,2,433,138.0,1910,Port Phillip City Council,-37.8819,144.9934,Southern Metropolitan,8989
127,Balwyn North,37 Cascade St,5,h,3200000,VB,Jellis,24/06/2017,9.7,3104,5,3,2,836,168.0,1970,Boroondara City Council,-37.78839,145.07076,Southern Metropolitan,7809
128,Malvern East,24 Kerferd St,4,h,3200000,S,Marshall,8/04/2017,11.2,3145,4,2,2,709,214.0,1910,Stonnington City Council,-37.8693,145.0423,Southern Metropolitan,8801
129,Richmond,78 Davison St,5,h,3200000,SP,Jellis,4/03/2017,2.6,3121,5,3,3,618,260.0,1890,Yarra City Council,-37.8157,145.0073,Northern Metropolitan,14949
130,Armadale,504 Orrong Rd,4,h,3200000,VB,Kay,17/06/2017,6.3,3143,4,4,2,847,285.0,1935,Stonnington City Council,-37.85938,145.01086999999998,Southern Metropolitan,4836
131,Hampton,4 Bendigo St,4,h,3200000,VB,Hodges,10/09/2016,13.7,3188,4,3,3,760,325.0,1920,Bayside City Council,-37.9326,144.9997,Southern Metropolitan,5454
132,Balwyn North,46 Aylmer St,4,h,3200000,VB,Jellis,11/11/2017,9.7,3104,4,2,7,710,594.0,2016,Boroondara City Council,-37.7977,145.06799999999998,Southern Metropolitan,7809
133,Elwood,4 Kendall St,4,h,3175000,S,Marshall,12/08/2017,7.2,3184,4,2,3,558,174.0,1900,Port Phillip City Council,-37.880140000000004,144.99347,Southern Metropolitan,8989
134,Kew,871 Glenferrie Rd,5,h,3175000,PI,Marshall,17/06/2017,5.4,3101,5,4,2,769,285.0,1940,Boroondara City Council,-37.81143,145.03723,Southern Metropolitan,10331
135,Brighton,15 Hanby St,5,h,3171000,S,Biggin,7/05/2016,11.2,3186,4,2,2,710,340.0,2000,Bayside City Council,-37.9241,145.0008,Southern Metropolitan,10579
136,Canterbury,35 Myrtle Rd,4,h,3145000,S,RW,27/11/2016,9.0,3126,4,2,2,796,276.0,2012,Boroondara City Council,-37.8266,145.072,Southern Metropolitan,3265
137,Middle Park,287 Richardson St,4,h,3120000,S,Marshall,19/11/2016,4.1,3206,4,2,1,182,100.0,1900,Port Phillip City Council,-37.8518,144.9663,Southern Metropolitan,2019
138,Glen Iris,25 Aintree Rd,4,h,3120000,S,Marshall,21/10/2017,7.3,3146,4,2,2,725,276.0,1950,Boroondara City Council,-37.85647,145.04353999999998,Southern Metropolitan,10412
139,Brighton,86 Dendy St,5,h,3105000,S,Marshall,28/08/2016,11.2,3186,4,2,2,1045,304.0,1930,Bayside City Council,-37.9205,145.0012,Southern Metropolitan,10579
140,Malvern,42 McKinley Av,4,h,3100000,S,Jellis,21/10/2017,5.9,3144,4,3,1,557,192.0,1900,Stonnington City Council,-37.86411,145.032,Southern Metropolitan,4675
141,Hampton,57 Holyrood St,4,h,3100000,S,Buxton,9/12/2017,13.8,3188,4,2,2,804,225.0,1915,Bayside City Council,-37.93326,144.99995,Southern Metropolitan,5454
142,Hawthorn East,58 Auburn Gr,4,h,3100000,S,Kay,10/09/2016,7.5,3123,3,2,2,640,232.0,1907,Boroondara City Council,-37.826,145.0498,Southern Metropolitan,6482
143,Clifton Hill,86 Ramsden St,4,h,3100000,VB,Collins,28/10/2017,3.6,3068,4,2,2,293,246.0,1920,Yarra City Council,-37.7907,145.00008,Northern Metropolitan,2954
144,Glen Iris,33 Rosedale Rd,5,h,3085000,S,Marshall,18/03/2017,9.2,3146,5,3,3,778,326.0,2000,Boroondara City Council,-37.8582,145.0715,Southern Metropolitan,10412
145,Kooyong,707 Toorak Rd,4,h,3080000,SP,Jellis,26/08/2017,5.9,3144,4,2,3,620,339.0,1930,Stonnington City Council,-37.84391,145.03376,Southern Metropolitan,394
